policy,label,runs,success_rate,upstream_failure_rate,cfr,safe_failure_rate,avg_trip_count,corrupted,clean,cascades,corrupted_and_cascade,clean_and_cascade,cfr_injected,cfr_clean,lift,utility
no_cb,No CB,125,0.848000,0.408000,0.372549,0.000000,0.000000,33,92,19,6,13,0.181818,0.141304,0.040514,0.088000
ai_cb,AI-guided CB,125,0.792000,0.272000,0.764706,0.000000,0.184000,28,97,26,3,23,0.107143,0.237113,-0.129971,-0.248000
adaptive_cb,Adaptive CB,125,0.832000,0.288000,0.583333,0.000000,0.208000,37,88,21,4,17,0.108108,0.193182,-0.085074,-0.008000
