policy,label,runs,success_rate,upstream_failure_rate,cfr,safe_failure_rate,avg_trip_count,utility
no_cb,No CB,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ai_cb,AI-guided CB,25,0.840000,0.320000,0.500000,0.000000,0.240000,0.040000
adaptive_cb,Adaptive CB,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
