policy,label,runs,success_rate,upstream_failure_rate,cfr,safe_failure_rate,avg_trip_count,corrupted,clean,cascades,corrupted_and_cascade,clean_and_cascade,cfr_injected,cfr_clean,lift,utility
no_cb,No CB,75,0.906667,0.320000,0.291667,0.000000,0.000000,35,40,7,5,2,0.142857,0.050000,0.092857,0.440000
ai_cb,AI-guided CB,75,0.853333,0.280000,0.523810,0.000000,0.280000,32,43,11,5,6,0.156250,0.139535,0.016715,0.120000
adaptive_cb,Adaptive CB,75,0.853333,0.293333,0.500000,0.000000,0.253333,34,41,11,7,4,0.205882,0.097561,0.108321,0.120000
completeness_cb,Completeness CB,75,0.840000,0.373333,0.428571,0.000000,0.026667,34,41,12,6,6,0.176471,0.146341,0.030129,0.040000
